0000000153.wav|The pumpkin is too big.
0000000169.wav|It’s a sunny day in spring.
0000000201.wav|Firstly, it easily fit any pot or bowl we put it in.
0000000186.wav|Readership declines through the week and is lowest on the weekends.
0000000190.wav|You'd be surprised at just how outrageous or outlandish some of the claims are.
0000000145.wav|A little panda picks up a pumpkin and wants to take it home to share with family.
0000000128.wav|This is then continued with the practical part of getting on the horse and then moving.
0000000041.wav|She opened the first red box, then she found our first super expensive rent bill.
0000000016.wav|Okay, but I want the furniture in the living room to be yellow and dark blue.
0000000094.wav|There is no sandy beach, but if you like rocks and deep waters, it is the perfect place.
0000000104.wav|And that means going beyond benefits like vacation days and retirement plans, and considering things like the company's culture, manager expectations, job satisfaction and development, and work-life balance.
0000000082.wav|It's a place where you see Earth for what it has come to be over the course of millions of years, not for the things we've done to it.
0000000165.wav|So the frog comes out from the well.
0000000057.wav|I was having a bad day, it was around four P M and I was struggling to make things happen.
0000000077.wav|It's hard to deny that tomatoes are the ideal summer food – and that's saying a lot in a season where so much produce is at its peak.
0000000124.wav|The route goes through the Peripheral Zone and Protected Landscape areas of the park, as well as a forest of medieval olive groves at K Beach.
0000000112.wav|This method is infinitely versatile – so if you're craving other seafood, like shrimp or scallops, or more summer vegetables, you can customize it to each family member's tastes.
0000000132.wav|Good food is well accompanied by a range of desserts that are sure to impress.
0000000173.wav|Gatorade has Alpine Snow, Riptide Rush, and Glacier Freeze.
0000000061.wav|Small incremental changes in your diet to increase whole-grain intake will make a difference over time.
0000000020.wav|Afterwards, the teacher decided to do a class project to see what kind of impact the recognition would have on a community.
0000000098.wav|We also recommend the grilled choices where you get a variety of fresh meat and fish dishes.
0000000108.wav|If you can't stand the heat, get out of the kitchen and fire up the grill.
0000000036.wav|Thousands of Irish holidaymakers are in transit as many take advantage of the Easter break to jet abroad for a well-earned trip.
0000000149.wav|There are many cute animals in the forest, because today is a nice sunny day.
0000000148.wav|She climbed up a tree and held the younger one in her arms for safety.
0000000172.wav|The monkey mother has two little monkeys.
0000000037.wav|When I was younger, I always knew my parents were working hard for the family.
0000000109.wav|You won't have to spend much time over the flame, but if you want a hot meal on a hot day, grilled dishes with tomatoes fit the bill.
0000000125.wav|Regardless of your familiarity with the sport, you can combine your holiday with a spot of  horse-riding.
0000000164.wav|One day a crow comes to the well.
0000000099.wav|Instead, stir up a no-cook tomato sauce that practically explodes with the juiciness of fresh tomatoes.
0000000060.wav|Yellowstone National Park also serves as a time capsule, a sort of 'land that time forgot' in terms of wildlife.
0000000076.wav|Fire up the grill, and give your peaches a little heat, to turn them into a sweetly charred accompaniment for a number of dishes.
0000000021.wav|He was just a guy who saw a dirty girl on the street who needed to eat.
0000000133.wav|Spinach joins these, with the greatest benefits derived from these vegetables in their raw or lightly cooked form.
0000000056.wav|I don't often eat lunch at work, and tend to just work through the day and eat dinner when I get home.
0000000152.wav|Sometime after, the fishermen left the net and went to have lunch.
0000000191.wav|Behind the tiger, there is a tortoise.
0000000113.wav|Surrounded by olive groves and a beautiful garden, it is the perfect place to relax and enjoy a beautiful dinner or lunch.
0000000144.wav|Another option is to wash spinach and other leafy greens thoroughly in running water before eating them.
0000000001.wav|Having complete focus on a recipe, and not allowing yourself to be distracted by your thoughts, can have a therapeutic effect.
0000000017.wav|So Ireland's nicest and world-renowned attractions will be buzzing with activity over the next few months.
0000000040.wav|I reached in and pulled out a huge manila envelope that was bulky, but I couldn't tell what was in it.
0000000129.wav|Most schools provide free equipment and transportation to and from their place of residence along with insurance.
0000000095.wav|Turn it into the base for a Cobb salad with as many tomatoes and leftover fridge elements as you can handle.
0000000083.wav|They kept on walking until they found an oasis, where they decided to take a bath.
0000000200.wav|They unsuccessfully tried to stonewall the move.
0000000105.wav|If being able to work from home is important to you, it's good to get a sense of a company's flexibility before getting too far along in the interview process.
0000000026.wav|You only think about the earth, but you should also consider the sky and the sea.
0000000163.wav|He thinks the sky is as big as the mouth of the well.
0000000187.wav|Animals are having a sports meeting.
0000000168.wav|Saves you so much time.
0000000122.wav|You need to have a lot of trust in a device to turn your back to it, while it mixes your batter all on its own.
0000000088.wav|When it comes down to it, almost anything can be a salad or a sandwich – the potential combinations are endless.
0000000134.wav|They invite you to try them with rich sauces and fresh vegetables, and main dishes that will delight.
0000000175.wav|You have to add ingredients in the correct order.
0000000071.wav|Overnight oats are a trend that's not going away anytime soon, and summer is the ideal time to embrace this chilled-out breakfast dish.
